Bill Number,Chapter No. (nnnn),XFile Bill Number,Sponsor,Synopsis,Title,Current Status,First Reading Date - House of Origin,Committee Primary - House of Origin,Hearing Date Primary - House of Origin,Hearing Time Primary - House of Origin,Committee Secondary - House of Origin,Hearing Date Secondary - House of Origin,Hearing Time Secondary - House of Origin,Report Date - House of Origin,Report Action - House of Origin,Second Reading Date - House of Origin,Second Reading Action - House of Origin,Third Reading Date - House of Origin,Third Reading Action - House of Origin,First Reading Date - Opposite House,Committee Primary - Opposite House,Hearing Date Primary - Opposite House,Hearing Time Primary - Opposite House,Committee Secondary - Opposite House,Hearing Date Secondary - Opposite House,Hearing Time Secondary - Opposite House,Report Date - Opposite House,Report Action - Opposite House,Second Reading Date - Opposite House,Second Reading Action - Opposite House,Third Reading Date - Opposite House,Third Reading Action - Opposite House,Interaction Between Chambers,Passed by MGA,Emergency Bill,Constitutional Amendment,Broad Subject Name,Broad Subject Code,year_session, status current as of
"HB0041","","","Delegate Murphy","Specifying that the special circumstances that must be taken into account by specified standards for recognition of Maryland Indian status established by the Commission on Indian Affairs by regulation must include circumstances created by State law; altering the criteria that are required to be included in the standards; stating that the Act may not be construed to affect any rights or requirements regarding Indian tribe property or gaming under the federal Indian Gaming Regulatory Act or any other federal law; etc.","Maryland Indian Status - Standards for Recognition","Hearing 3/11 at 1:00 p.m.","1/8/2014","Health and Government Operations ","1/16/2014"," 1:00 p.m.","","","","2/11/2014 12:00:00 AM","Favorable with Amendments","2/13/2014","Passed with Amendments","2/18/2014","Passed","2/19/2014","Education, Health, and Environmental Affairs ","3/11/2014"," 1:00 p.m.","","","","","","","","","","","No","","","State Government - Regulations and Procedures","p3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0042","","","Delegate Cardin","Prohibiting a licensed firearm dealer or other person, notwithstanding a specified provision of law, from selling, renting, or transferring a regulated firearm to a firearm applicant until the licensee or other person has received notice from the Secretary of State Police that the applicant's firearm application has been approved.","Public Safety - Firearms - Application Approval Before Sale, Rental, or Transfer","Hearing 3/04 at 1:00 p.m.","1/8/2014","Judiciary ","3/4/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Public Safety","e4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0043","","","Delegate Simmons","Prohibiting a person from intentionally causing serious emotional distress to another by intentionally placing on the Internet a specified reproduction of the image of the other person knowing that the other person did not consent to the placement of the image on the Internet under specified circumstances; providing that a specified interactive computer service is not liable under the Act for content provided by another person; establishing penalties for a violation of the Act; etc.","Criminal Law - Harassment - Revenge Porn","Passed Enrolled","1/8/2014","Judiciary ","1/28/2014"," 1:00 p.m.","","","","2/24/2014 12:00:00 AM","Favorable with Amendments","2/25/2014","Passed with Amendments","2/28/2014","Passed","3/3/2014","Judicial Proceedings ","3/18/2014"," 1:00 p.m.","","","","4/3/2014","Favorable with Amendments","3/28/2014","Passed with Amendments","3/29/2014","Passed with Amendments","Concurred","Yes","","","Criminal Law - Substantive Crimes","e1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0044","","","Delegate Vitale","Authorizing a judge, when issuing a temporary or final protective order, to order the respondent to undergo a specified emergency evaluation under specified circumstances; requiring a judge, in determining whether to order a respondent to vacate the home, to consider the results of a specified emergency evaluation; etc.","Family Law - Temporary and Final Protective Orders - Emergency Evaluation for Mental Disorder","Hearing 1/16 at 1:00 p.m.","1/8/2014","Judiciary ","1/16/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Family Law","d4","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0045","","SB0069","Chair, Judiciary Committee","Providing for an exception to a requirement that specified court documents be published in the Maryland Register if the court document is posted on the Web site of the Maryland Judiciary.","Maryland Register - Publication of Court Documents - Exception","Returned Passed","1/8/2014","Judiciary ","1/23/2014"," 2:00 p.m.","Health and Government Operations ","","",""," ","2/25/2014","Passed","2/27/2014","Passed","2/28/2014","Judicial Proceedings ","","","","","","3/28/2014","Favorable","3/21/2014","Passed","3/22/2014","Passed","Returned Passed","Yes","","","Courts and Court Personnel - Statewide","d1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0046","","SB0275","Delegate Arora","Requiring an official publisher that publishes legal material in an electronic record to designate the electronic record as official, under specified circumstances, and authenticate the electronic record in a specified manner; providing that specified legal material in an electronic record is presumed to be an accurate copy of the legal material; requiring an official publisher of specified legal material in an electronic record to provide for the preservation and security of the record; etc.","State Government - Maryland Uniform Electronic Legal Materials Act","Unfavorable Report by Health and Government Operations; Withdrawn","1/8/2014","Health and Government Operations ","1/23/2014"," 2:00 p.m.","","","","2/18/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","State Government - Regulations and Procedures","p3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0047","","","Delegate Carr","Requiring the Department of the Environment to create a fact sheet on dental amalgam on or before January 1, 2015; requiring the fact sheet on dental amalgam to include specified information; requiring the Department to make a reasonable effort to distribute the dental amalgam fact sheet to the public; and requiring the Department to post the dental amalgam fact sheet on its Web site.","Environment - Mercury - Dental Amalgam","Unfavorable Report by Environmental Matters; Withdrawn","1/8/2014","Environmental Matters ","","","","","","2/10/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Environment","m3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0048","","","Delegate Kelly, A.","Prohibiting specified telephone companies from replacing a landline or   wireline telephone service with a wireless telephone service, subject to specified exceptions; prohibiting the Public Service Commission from authorizing specified telephone companies to replace a landline or wireline telephone service with a wireless telephone service, subject to specified exceptions; etc.","Wireless Landline Telephone Service - Prohibition and Study","Unfavorable Report by Economic Matters Withdrawn","1/8/2014","Economic Matters ","","","","","","2/4/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","Yes","","Utility Regulation","c5","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0049","","","Delegate Norman","Providing that an award of attorney's fees in an action for breach of contract shall be in accordance with the terms of a written contract under specified circumstances; establishing that attorney's fees equal to 15% of a recovery in an action for breach of contract shall be presumed reasonable under specified circumstances; and applying the Act prospectively.","Breach of Contract - Attorney's Fees","Unfavorable Report by Judiciary","1/8/2014","Judiciary ","1/22/2014"," 1:00 p.m.","","","","3/13/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Civil Actions and Procedures","d3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0050","","SB0464","Delegate Norman","Repealing the requirement that, on or before July 1, 2013, a county or municipality subject to a specified municipal stormwater permit adopt and implement laws or ordinances to establish a watershed protection and restoration program; repealing the requirement that a county or municipality maintain or administer a local watershed protection and restoration fund; repealing the requirement that a county or municipality establish and annually collect a stormwater remediation fee; etc.","Stormwater Management - Watershed Protection and Restoration Program - Repeal","Unfavorable Report by Environmental Matters","1/8/2014","Environmental Matters ","2/26/2014"," 1:00 p.m.","","","","3/3/2014 12:00:00 AM","Unfavorable","","","","","","","","","","","","","","","","","","","No","","","Environment","m3","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0051","","","Delegate Cardin","Requiring county boards of education to establish a toll-free bullying hotline and distribute bullying tip boxes to public schools; requiring county boards of education to publicize the bullying hotline and tip boxes in specified locations and venues; requiring the completion of a victim of bullying, harassment, or intimidation report form on receipt of a report of an act of bullying, harassment, or intimidation on a bullying hotline or from a tip box; establishing that specified information is confidential; etc.","Public Schools - Boards of Education - Bullying Hotlines and Tip Boxes","Hearing 1/29 at 1:00 p.m.","1/8/2014","Ways and Means ","1/29/2014"," 1:00 p.m.","","","","","","","","","","","","","","","","","","","","","","","","No","","","Primary and Secondary Education","f1","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0052","","SB0808","Delegate Carr","Specifying that every person operating a bicycle or a motor scooter in a public bicycle area is subject only to the duties required of the driver of a vehicle under specified rules of the road; requiring that every person operating a bicycle or a motor scooter in a public bicycle area watch for other vehicles in the public bicycle area; and requiring the driver of a vehicle to watch for bicycles on specified highways and bicycle ways.","Vehicle Laws - Bicycles and Motor Scooters - Rules of the Road","Unfavorable Report by Environmental Matters; Withdrawn","1/8/2014","Environmental Matters ","1/28/2014"," 1:00 p.m.","","","","3/5/2014 12:00:00 AM","Withdrawn","","","","","","","","","","","","","","","","","","","No","","","Vehicle Laws - Rules of the Road","r5","2014 Regular Session","4/9/2014 6:00:56 PM"
"HB0053","","","Delegate Vitale","Requiring a custodian of a public record to provide a copy, printout, or photograph of a public record to an applicant under specified circumstances; authorizing a person or governmental unit that is not provided with a copy, printout, or photograph of a public record to file a complaint with a specified circuit court; authorizing the court to take specified action regarding the failure to provide a copy, printout, or photograph of a public record; etc.","Public Records - Provision of Copies, Printouts, and Photographs - Required","Returned Passed","1/8/2014","Health and Government Operations ","1/23/2014"," 2:00 p.m.","","","","2/11/2014 12:00:00 AM","Favorable with Amendments","2/13/2014","Passed with Amendments","2/18/2014","Passed","2/19/2014","Education, Health, and Environmental Affairs ","3/12/2014"," 1:00 p.m.","","","","3/26/2014","Favorable","3/19/2014","Passed","3/20/2014","Passed","Returned Passed","Yes","","","State Government - Regulations and Procedures","p3","2014 Regular Session","4/9/2014 6:00:56 PM"
